Date,Temp
2013-01,-8.46
2013-02,-4.89
2013-03,-4.82
2013-04,6.85
2013-05,16.59
2013-06,20.38
2013-07,20.29
2013-08,19.62
2013-09,12.22
2013-10,6.57
2013-11,3.72
2013-12,-2.97
2014-01,-12.82
2014-02,-11.64
2014-03,-2.41
2014-04,3.86
2014-05,12.17
2014-06,15.87
2014-07,18.59
2014-08,17.88
2014-09,10.27
2014-10,1.32
2014-11,-6.85
2014-12,-8.91
2015-01,-10.52
2015-02,-8.41
2015-03,-3.39
2015-04,3.73
2015-05,10.9
2015-06,16.68
2015-07,16.32
2015-08,15.39
2015-09,11.86
2015-10,2.45
2015-11,-4.08
2015-12,-6.19
2016-01,-15.27
2016-02,-6.22
2016-03,-2.85
2016-04,6.02
2016-05,11.16
2016-06,17.53
2016-07,20.48
2016-08,18.35
2016-09,11.73
2016-10,2.31
2016-11,-5.79
2016-12,-10.15
2017-01,-11.35
2017-02,-9.04
2017-03,-1.0
2017-04,4.49
2017-05,10.69
2017-06,15.8
2017-07,18.8
2017-08,18.08
2017-09,11.24
2017-10,3.42
2017-11,-3.3
2017-12,-6.86
2018-01,-12.14
2018-02,-11.89
2018-03,-7.43
2018-04,7.25
2018-05,10.16
2018-06,17.0
2018-07,20.23
2018-08,18.21
2018-09,12.91
2018-10,6.42
2018-11,-4.32
2018-12,-10.7
2019-01,-11.66
2019-02,-10.82
2019-03,-0.41
2019-04,7.71
2019-05,12.65
2019-06,17.81
2019-07,18.13
2019-08,16.79
2019-09,11.11
2019-10,5.65
2019-11,-4.37
2019-12,-6.8
